,product_id,final_quantity_requested,company_id_x,ship_from_site_id,customer_tpartner_id,requested_delivery_date,order_date,actual_delivery_date,promised_delivery_date,status,id_x,cust_order_id,id_y,description,company_id_y,Unnamed: 3,hts_code,is_hazmat,is_flammable,is_special_handling,is_perishable,is_digital,is_deleted,is_lot_controlled,is_expiry_controlled,creation_date,brand_name,parent_product_id,display_desc,discontinue_day,base_uom,unit_price,currency_uom,product_available_day,shipping_weight,shipping_dimension,unit_volume,pkg_length,pkg_width,pkg_height,weight_uom,dim_uom,volume_uom,casepack_size,gtin,db_creation_dttm,db_updation_dttm,sap_0material_attr__prdha
8178,8248382,1,1,446,,2022-04-02,2022-04-02,2022-04-02,2022-04-02,Closed,8248382/446//1393746988/2,1393746988,8248382,SHAWL KNITTED LEO PATTERN:BROWN:0,1,8193110 Shawl knitted Leo pattern/8193110 Shawl knitted Leo pattern - Brown,,,,,,,False,,,,8917 Baby Other,9419,Baby Item,,1-PACK,3.95,USD,,,,,,,,,,,,,,,
8179,8288862,1,1,921,,2022-02-23,2022-02-23,2022-02-23,2022-02-23,Closed,8288862/921//13862476/1,1382062476,8288862,DRESS BIB SOLID CORD:DK DUSTY RED:86,1,8221594 Dress bib solid cord/8221594 Dress bib solid cord - Dk dusty red,,,,,,,False,,,,8910 Baby Tops,9318,Dress,,1-PACK,4.32,USD,,,,,,,,,,,,,,,
8180,8288862,1,1,920,7412560.0,2021-10-22,2021-10-22,2021-10-22,2021-10-22,Closed,8288862/9/74125/1341339825/2,1341339825,8288862,DRESS BIB SOLID CORD:DK DUSTY RED:86,1,8221594 Dress bib solid cord/8221594 Dress bib solid cord - Dk dusty red,,,,,,,False,,,,8910 Baby Tops,9318,Dress,,1-PACK,4.32,USD,,,,,,,,,,,,,,,
8181,8288862,1,1,454,,2021-12-01,2021-12-01,2021-12-01,2021-12-01,Closed,8288862/454//1355198997/1,1355198997,8288862,DRESS BIB SOLID CORD:DK DUSTY RED:86,1,8221594 Dress bib solid cord/8221594 Dress bib solid cord - Dk dusty red,,,,,,,False,,,,8910 Baby Tops,9318,Dress,,1-PACK,4.32,USD,,,,,,,,,,,,,,,
8182,8288862,1,1,151,8148885.0,2022-01-03,2022-01-03,2022-01-03,2022-01-03,Closed,8288862/151/8148885/13663169/1,1366703169,8288862,DRESS BIB SOLID CORD:DK DUSTY RED:86,1,8221594 Dress bib solid cord/8221594 Dress bib solid cord - Dk dusty red,,,,,,,False,,,,8910 Baby Tops,9318,Dress,,1-PACK,4.32,USD,,,,,,,,,,,,,,,
8183,8288862,1,1,805,5868849.0,2021-11-10,2021-11-06,2021-11-10,2021-11-10,Closed,8288862/5/5868849/13473984/1,1347340984,8288862,DRESS BIB SOLID CORD:DK DUSTY RED:86,1,8221594 Dress bib solid cord/8221594 Dress bib solid cord - Dk dusty red,,,,,,,False,,,,8910 Baby Tops,9318,Dress,,1-PACK,4.32,USD,,,,,,,,,,,,,,,
8184,8253922,1,1,821,,2021-10-21,2021-10-17,2021-10-21,2021-10-21,Closed,8253922/821//13043626/5,1340043626,8253922,PYJAMAS LEOPARD AOP:LIGHT BEIGE:62,1,8213765 Pyjamas Leopard aop/8213765 Pyjamas Leopard aop - Light Beige,,,,,,,False,,,,8916 Baby Nightwear,9333,Pyjamas,,1-PACK,2.92,USD,,,,,,,,,,,,,,,
8185,8253922,1,1,416,10059952.0,2022-06-16,2022-06-16,2022-06-16,2022-06-16,Closed,8253922/416/059952/14183955/4,1418395405,8253922,PYJAMAS LEOPARD AOP:LIGHT BEIGE:62,1,8213765 Pyjamas Leopard aop/8213765 Pyjamas Leopard aop - Light Beige,,,,,,,False,,,,8916 Baby Nightwear,9333,Pyjamas,,1-PACK,2.92,USD,,,,,,,,,,,,,,,
8186,8253922,1,1,398,,2021-12-27,2021-12-27,2021-12-27,2021-12-27,Closed,8253922/398//13645614/3,1364705614,8253922,PYJAMAS LEOPARD AOP:LIGHT BEIGE:62,1,8213765 Pyjamas Leopard aop/8213765 Pyjamas Leopard aop - Light Beige,,,,,,,False,,,,8916 Baby Nightwear,9333,Pyjamas,,1-PACK,2.92,USD,,,,,,,,,,,,,,,
8187,8092280,1,1,179,1917211.0,2021-06-16,2021-06-16,2021-06-16,2021-06-16,Closed,922/179/1917211/1771/2,1307790130,8092280,BODY WRAP RIB BASIC:BEIGE:56,1,8002778 Body wrap rib basic/8002778 Body wrap rib basic - Beige,,,,,,,False,,,,8913 Baby Basic,9328,Body,,1-PACK,2.5,USD,,,,,,,,,,,,,,,
